age,E1,N1,A1,C1,O1
53,4,1,1,4,4
46,2,2,1,4,3
14,5,5,5,4,4
19,2,5,2,3,4
25,3,3,5,3,3
31,1,1,2,2,4
20,5,2,5,2,3
23,4,1,2,4,3
39,3,2,1,4,3
18,1,5,2,5,4
17,1,5,2,3,5
15,3,1,4,3,3
22,3,3,1,4,3
21,1,5,1,5,3
28,3,2,1,4,3
21,2,2,4,4,4
19,1,4,4,4,5
21,4,5,1,3,3
26,2,4,2,4,4
26,2,4,1,1,4
19,1,4,4,2,5
29,2,1,2,4,5
29,2,3,1,4,4
21,3,3,1,3,3
52,3,4,1,3,4
19,1,5,5,4,3
48,5,3,4,2,4
22,3,4,1,3,2
17,2,5,3,2,4
37,3,1,1,4,3
19,4,4,2,1,3
22,2,5,2,3,4
25,4,2,2,4,3
20,5,4,1,2,5
15,1,3,4,2,2
46,1,4,1,5,5
15,1,1,1,5,5
18,2,2,1,4,5
42,2,3,4,3,5
27,1,3,1,4,4
17,5,1,5,5,5
17,4,5,2,4,2
17,2,3,3,4,3
60,3,2,1,5,4
27,1,4,1,5,4
19,4,5,1,5,5
20,1,3,4,3,4
19,2,1,5,5,4
26,1,5,4,1,5
24,1,4,4,4,4
19,1,5,2,4,4
18,2,5,3,1,5
14,2,4,4,2,5
25,2,5,1,5,3
47,4,4,2,5,5
18,2,4,2,3,4
23,2,5,4,4,3
14,2,5,1,2,4
20,1,5,1,4,5
35,4,5,1,2,5
34,4,2,1,4,3
36,5,5,5,4,1
15,3,4,3,3,4
20,4,1,1,4,5
54,2,3,2,4,3
47,2,3,4,2,3
17,3,5,4,3,3
45,4,2,1,4,4
32,2,5,1,4,4
23,3,3,1,2,3
23,4,4,2,3,3
14,1,5,1,4,4
19,5,4,3,3,4
15,1,5,2,3,2
49,3,4,3,2,5
47,1,5,2,3,3
23,3,5,1,4,5
19,1,5,3,4,4
36,3,4,1,5,5
21,2,5,1,4,4
21,3,5,1,3,5
13,3,5,2,3,4
21,3,3,1,3,2
32,4,1,3,5,5
33,4,3,1,3,4
33,3,2,4,4,4
16,2,3,4,2,5
21,3,4,3,3,4
31,3,1,1,3,3
17,1,4,1,1,5
26,2,3,1,3,5
34,4,5,1,4,5
21,1,1,1,5,3
26,5,1,4,4,4
22,2,1,2,5,5
19,1,5,1,2,4
19,4,2,3,3,4
21,4,3,2,3,4
49,3,3,1,4,5
18,3,4,2,4,3
32,1,4,3,4,2
60,1,4,1,2,5
22,1,5,1,2,5
24,1,2,1,4,4
16,2,3,1,3,4
20,2,4,3,3,4
47,3,2,1,2,3
15,2,5,2,4,3
17,1,4,4,3,1
13,5,1,5,5,5
16,4,5,2,5,4
23,1,3,2,4,2
30,5,3,1,4,3
17,3,4,2,1,3
20,2,4,1,4,3
25,2,4,2,4,5
27,4,4,4,4,5
25,1,4,2,5,5
21,3,4,1,4,3
59,1,1,1,3,5
30,4,2,2,4,5
37,5,1,3,1,4
27,2,5,2,3,4
41,2,4,1,5,3
18,4,3,4,3,3
21,3,5,2,2,3
15,5,3,1,4,4
18,2,5,3,3,5
20,4,1,2,3,4
35,5,1,1,4,4
24,2,4,2,1,4
33,5,5,1,1,5
20,3,3,2,3,3
59,1,2,1,4,4
19,5,4,1,2,5
26,2,3,3,4,5
24,3,3,1,5,2
31,5,4,2,3,3
30,1,4,1,2,5
18,1,4,4,4,2
24,3,4,1,5,4
13,4,2,1,4,5
19,3,3,1,3,4
20,2,5,4,4,4
13,3,2,1,4,4
16,4,4,3,1,2
17,1,1,1,2,5
27,3,3,3,2,4
20,1,4,1,2,5
